tracked_team_id,tracked_team_name,match_id,start_time,status,match_number,category,stage,group,home_team,away_team,home_goals,away_goals,winner,arena,source_url
73060428,G13 Sandviken Gul,80459724,2026-07-28T13:10+02:00,scheduled,1 13 9 30 004,Boys 13 - born 2013 - 9 aside,,Group 30,Varegg Fotball Varegg-Sandviken GUL,Eik If Tønsberg 2,,,,Ekeberg 19EK09,"https://norwaycup.cupmanager.net/2026,nb/result/team/73060428"
73060430,G13 Sandviken Hvit,80459666,2026-07-28T13:10+02:00,scheduled,1 13 9 26 005,Boys 13 - born 2013 - 9 aside,,Group 26,Øvrevoll Hosle IL 1,Varegg Fotball Varegg-Sandviken HVIT,,,,Ekeberg 41 EK9 ,"https://norwaycup.cupmanager.net/2026,nb/result/team/73060430"
76138452,G13 Sandviken Rød,80459536,2026-07-28T13:10+02:00,scheduled,1 13 9 17 004,Boys 13 - born 2013 - 9 aside,,Group 17,"Manglerud Star Fotball,IL Gul",Varegg Fotball Varegg-Sandviken RØD,,,,Bjølsenfeltet 05BJ09,"https://norwaycup.cupmanager.net/2026,nb/result/team/76138452"
75750514,G16 Varegg Fotball/Sandviken Blå,80216216,2026-07-28T14:30+02:00,scheduled,1 16 0 26 004,Boys 16 - born 2010 - 11 aside,,Group 26,"Heming, IL",Varegg Fotball /Sandviken Blå,,,,Abildsø 01 AB11,"https://norwaycup.cupmanager.net/2026,nb/result/team/75750514"
75750516,G16 Varegg Fotball/Sandviken Gul,80215851,2026-07-28T14:30+02:00,scheduled,1 16 0 04 004,Boys 16 - born 2010 - 11 aside,,Group 4,Varegg Fotball /Sandviken Gul,Astor Fotballklubb 1,,,,Valle Hovin 08 VA11,"https://norwaycup.cupmanager.net/2026,nb/result/team/75750516"
73060432,G13 Sandviken Blå,80459387,2026-07-28T14:50+02:00,scheduled,1 13 9 07 004,Boys 13 - born 2013 - 9 aside,,Group 7,Varegg Fotball Varegg-Sandviken BLÅ,Ullern IF 2,,,,Furuset 04 FU9,"https://norwaycup.cupmanager.net/2026,nb/result/team/73060432"
75938121,J16 Sandviken,80273242,2026-07-28T15:30+02:00,scheduled,2 16 0 07 004,Girls 16 - born 2010- 11 aside,,Group 7,Varegg/Sandviken,Bækkelagets SK,,,,Ekeberg 36 EK11,"https://norwaycup.cupmanager.net/2026,nb/result/team/75938121"
75647960,G14 Sandviken 1,80263497,2026-07-28T16:20+02:00,scheduled,1 14 0 12 005,Boys 14 - born 2012 - 11 aside,,Group 12,Varegg Fotball Sandviken / Varegg 1,Monolitten Idrettslag 2,,,,Ekeberg 30 EK11,"https://norwaycup.cupmanager.net/2026,nb/result/team/75647960"
76356822,J17 Sandviken,80273786,2026-07-28T16:30+02:00,scheduled,2 17 0 03 004,Girls 17 - born 2009 - 11aside,,Group 3,Byåsen IL 1,Sandviken/Varegg,,,,Ekeberg 06 EK11,"https://norwaycup.cupmanager.net/2026,nb/result/team/76356822"
76334133,J19 Sandviken,80277004,2026-07-28T17:45+02:00,scheduled,2 19 0 02 005,Girls 18/19- born 2007 - 11aside,,Group 2,"Sandviken, IL /Varegg",Rustad Abildsø Sportsklubb Østensjø,,,,Ekeberg 37 EK11,"https://norwaycup.cupmanager.net/2026,nb/result/team/76334133"
76326716,G15 Sandviken 2,80269810,2026-07-28T19:00+02:00,scheduled,1 15 0 28 005,Boys 15 - born 2011 - 11 aside ,,Group 28,Ørsta IL - Fotball,Varegg/Sandviken 2,,,,Ekeberg 02 EK11,"https://norwaycup.cupmanager.net/2026,nb/result/team/76326716"
75670384,J15 Sandviken,80268683,2026-07-28T20:00+02:00,scheduled,2 15 0 17 004,Girls 15 - born 2011 11 aside,,Group 17,Harøy HaNo/Lepsøy FK,Sandviken/Varegg,,,,Rustad 02 RU11,"https://norwaycup.cupmanager.net/2026,nb/result/team/75670384"
